variant,dataset,replicate,predicted_index,hard_track_id,taper_track_id,hard_tau,taper_tau,consensus_tau,agreement_error,hard_persistence,taper_persistence,hard_tail_drift,taper_tail_drift,hard_prominence,taper_prominence
strict,shuffled_rates,1,1,18,17,12.54167153173315,12.517939928451316,12.529805730092233,0.02373160328183488,1.0,1.0,0.14281273859412025,0.06044503597667905,0.3369645633235816,0.5236689929112303
strict,shuffled_rates,1,2,5,3,14.172969538240176,14.126912063459313,14.149940800849745,0.04605747478086286,1.0,1.0,0.17319500849157876,0.05452981949573754,6.711411203352224,7.18217095965285
strict,shuffled_rates,1,3,6,4,20.99231583979213,21.05551347870927,21.0239146592507,0.06319763891713848,1.0,1.0,0.12948968158256946,0.06638879768307504,6.21186260800105,5.023978422922733
strict,shuffled_rates,1,4,7,5,25.00963192500104,25.03240259638135,25.021017260691195,0.022770671380307306,1.0,1.0,0.09744926922504504,0.04942793578442206,5.77945774559271,5.785568522643384
strict,shuffled_rates,1,5,9,10,30.426432959519584,30.4657824585783,30.446107709048942,0.039349499058715764,1.0,1.0,0.11039414064976327,0.046813445133246034,6.373308745103755,5.970983216022233
strict,shuffled_rates,1,6,13,11,32.908893256292586,32.83424080649353,32.871567031393056,0.0746524497990535,1.0,1.0,0.05862621398114243,0.018191452680625275,3.4779501080020583,3.473952950795124
baseline,shuffled_rates,1,1,18,17,12.54167153173315,12.517939928451316,12.529805730092233,0.02373160328183488,1.0,1.0,0.14281273859412025,0.06044503597667905,0.3369645633235816,0.5236689929112303
baseline,shuffled_rates,1,2,5,3,14.172969538240176,14.126912063459313,14.149940800849745,0.04605747478086286,1.0,1.0,0.17319500849157876,0.05452981949573754,6.711411203352224,7.18217095965285
baseline,shuffled_rates,1,3,6,4,20.99231583979213,21.05551347870927,21.0239146592507,0.06319763891713848,1.0,1.0,0.12948968158256946,0.06638879768307504,6.21186260800105,5.023978422922733
baseline,shuffled_rates,1,4,7,5,25.00963192500104,25.03240259638135,25.021017260691195,0.022770671380307306,1.0,1.0,0.09744926922504504,0.04942793578442206,5.77945774559271,5.785568522643384
baseline,shuffled_rates,1,5,9,10,30.426432959519584,30.4657824585783,30.446107709048942,0.039349499058715764,1.0,1.0,0.11039414064976327,0.046813445133246034,6.373308745103755,5.970983216022233
baseline,shuffled_rates,1,6,13,11,32.908893256292586,32.83424080649353,32.871567031393056,0.0746524497990535,1.0,1.0,0.05862621398114243,0.018191452680625275,3.4779501080020583,3.473952950795124
loose,shuffled_rates,1,1,1,1,0.8356292679909076,0.9803270648002267,0.9079781663955672,0.14469779680931905,1.0,1.0,0.14476685633741326,0.1895635760719624,7.960241807967913,5.506432094753738
loose,shuffled_rates,1,2,18,17,12.54167153173315,12.517939928451316,12.529805730092233,0.02373160328183488,1.0,1.0,0.14281273859412025,0.06044503597667905,0.3369645633235816,0.5236689929112303
loose,shuffled_rates,1,3,5,3,14.172969538240176,14.126912063459313,14.149940800849745,0.04605747478086286,1.0,1.0,0.17319500849157876,0.05452981949573754,6.711411203352224,7.18217095965285
loose,shuffled_rates,1,4,6,4,20.99231583979213,21.05551347870927,21.0239146592507,0.06319763891713848,1.0,1.0,0.12948968158256946,0.06638879768307504,6.21186260800105,5.023978422922733
loose,shuffled_rates,1,5,7,5,25.00963192500104,25.03240259638135,25.021017260691195,0.022770671380307306,1.0,1.0,0.09744926922504504,0.04942793578442206,5.77945774559271,5.785568522643384
loose,shuffled_rates,1,6,19,19,26.549875253422805,26.800519463168477,26.67519735829564,0.2506442097456727,1.0,1.0,0.29575141862345333,0.2032144317342386,0.753317186847162,0.5906819308874988
loose,shuffled_rates,1,7,9,10,30.426432959519584,30.4657824585783,30.446107709048942,0.039349499058715764,1.0,1.0,0.11039414064976327,0.046813445133246034,6.373308745103755,5.970983216022233
loose,shuffled_rates,1,8,13,11,32.908893256292586,32.83424080649353,32.871567031393056,0.0746524497990535,1.0,1.0,0.05862621398114243,0.018191452680625275,3.4779501080020583,3.473952950795124
