variant,dataset,replicate,predicted_index,predicted_tau,zero_index,gamma,signed_error,absolute_error,relative_error,nearest_zero_index,nearest_zero_gamma,nearest_zero_distance
strict,shuffled_rates,0,6,32.82981763559363,6,37.586178158825675,-4.756360523232047,4.756360523232047,0.12654546847336745,5,32.93506158773919,0.10524395214556392
strict,shuffled_rates,0,7,34.68165344461144,7,40.9187190121475,-6.237065567536057,6.237065567536057,0.15242572881336938,5,32.93506158773919,1.74659185687225
strict,shuffled_rates,1,1,12.529805730092233,1,14.134725141734695,-1.6049194116424612,1.6049194116424612,0.11354443723165998,1,14.134725141734695,1.6049194116424612
strict,shuffled_rates,1,2,14.149940800849745,2,21.022039638771556,-6.872098837921811,6.872098837921811,0.32689971839114035,1,14.134725141734695,0.015215659115050073
strict,shuffled_rates,1,3,21.0239146592507,3,25.01085758014569,-3.9869429208949896,3.9869429208949896,0.15940848521963258,2,21.022039638771556,0.0018750204791437852
strict,shuffled_rates,1,4,25.021017260691195,4,30.424876125859512,-5.403858865168317,5.403858865168317,0.17761317557429024,3,25.01085758014569,0.010159680545505978
strict,shuffled_rates,1,5,30.446107709048942,5,32.93506158773919,-2.48895387869025,2.48895387869025,0.07557155683646324,4,30.424876125859512,0.021231583189429415
strict,shuffled_rates,1,6,32.871567031393056,6,37.586178158825675,-4.714611127432619,4.714611127432619,0.1254347038826445,5,32.93506158773919,0.06349455634613577
loose,real,0,1,0.9128262853593853,1,14.134725141734695,-13.22189885637531,13.22189885637531,0.9354195942116948,1,14.134725141734695,13.22189885637531
loose,real,0,2,12.520062874615501,2,21.022039638771556,-8.501976764156055,8.501976764156055,0.40443158276971436,1,14.134725141734695,1.6146622671191935
loose,real,0,3,14.152912756534828,3,25.01085758014569,-10.857944823610861,10.857944823610861,0.43412924921975476,1,14.134725141734695,0.018187614800133645
loose,real,0,4,21.015123573711975,4,30.424876125859512,-9.409752552147538,9.409752552147538,0.30927825353246885,2,21.022039638771556,0.0069160650595812
loose,real,0,5,24.997106873730246,5,32.93506158773919,-7.937954714008946,7.937954714008946,0.2410183655756097,3,25.01085758014569,0.013750706415443403
loose,real,0,6,30.457916718858264,6,37.586178158825675,-7.12826143996741,7.12826143996741,0.1896511374432894,4,30.424876125859512,0.03304059299875206
loose,real,0,7,32.874617497582086,7,40.9187190121475,-8.044101514565412,8.044101514565412,0.19658732503765253,5,32.93506158773919,0.06044409015710528
loose,phase_scrambled,0,1,4.2742330133780655,1,14.134725141734695,-9.86049212835663,9.86049212835663,0.6976076315231761,1,14.134725141734695,9.86049212835663
loose,phase_scrambled,0,2,7.731573571703702,2,21.022039638771556,-13.290466067067854,13.290466067067854,0.632215821844226,1,14.134725141734695,6.4031515700309924
loose,phase_scrambled,0,3,9.543497468411786,3,25.01085758014569,-15.467360111733903,15.467360111733903,0.6184258201530971,1,14.134725141734695,4.5912276733229085
