dataset,replicate,prime_cutoff,zero_index,gamma,in_window,phase_at_gamma,phase_slope_at_gamma,abs_rotation_window_percentile,nearest_stationary_phase_offset,nearest_rotation_max_grid_offset
real,0,29,5,32.93506158773919,True,-0.6095141595887542,-3.268913520925315,0.9740086637787404,-0.6435060689212406,-0.07506158773919225
real,0,29,6,37.586178158825675,True,0.27785850720828453,-1.6792155142828686,0.7194268577140953,-0.8166632917581822,-0.166178158825673
real,0,29,7,40.9187190121475,True,0.20763432940656545,-2.250998488689124,0.8637120959680107,0.7012682243789712,0.021280987852499322
real,0,29,8,43.327073280915,True,-0.3854583253740549,-2.7743020122783477,0.927357547484172,-0.5419978422639673,0.1529267190850021
real,0,29,9,48.00515088116716,True,0.45655035217563134,-1.967677699040684,0.8000666444518494,0.36908623218089787,-0.30515088116715816
real,0,29,10,49.7738324776723,True,-0.5810645341068124,-1.720001951387052,0.732755748083972,-0.7092332284351031,-0.21383247767229818
real,0,29,11,52.970321477714464,True,-0.33450215981947024,-2.2162395026331594,0.8570476507830723,-0.6560307755426962,-0.11032147771446432
real,0,29,12,56.44624769706339,True,0.7012496133230672,-1.7343847846113383,0.7384205264911696,-0.7067830560600754,0.3137523029366065
real,0,29,13,59.34704400260235,True,0.11577548513736344,-2.1604769937510055,0.8447184271909364,0.3151263362612795,-0.18704400260234877
real,0,29,14,60.83177852460981,False,-1.2175654418995205,-2.7770353863274435,,,
real,0,29,15,65.1125440480816,False,0.6783490836351851,-2.084964938017262,,,
real,0,29,16,67.07981052949417,False,0.1367736628186102,-2.2818533107145345,,,
real,0,29,17,69.54640171117398,False,-0.22170275460204372,-3.324061256460516,,,
real,0,29,18,72.0671576744819,False,-0.7471181695438998,-1.8498195008807408,,,
real,0,29,19,75.70469069908393,False,0.7414606935049655,-1.0136927490503431,,,
real,0,29,20,77.1448400688748,False,-0.5526191348701217,-2.122323745179533,,,
real,0,101,1,14.134725141734695,True,-0.08812522427765825,-3.720153160616828,0.9363545484838387,0.6239121625910364,0.10527485826530558
real,0,101,2,21.022039638771556,True,0.341826362535668,-3.3607593371249442,0.9113628790403199,-0.6929160501703819,0.09796036122844498
real,0,101,3,25.01085758014569,True,-0.20013094844847734,-3.7592075212442158,0.939353548817061,-0.4754247312904063,0.029142419854309765
real,0,101,4,30.424876125859512,True,0.7204195979070979,-3.9208506165608594,0.9526824391869377,-0.4811570798237774,0.0751238741404876
real,0,101,5,32.93506158773919,True,-0.5236812812715675,-2.4487721634071944,0.805731422859047,-0.6673813374309674,0.24493841226080804
real,0,101,6,37.586178158825675,True,0.28489723542611534,-4.305576842245505,0.9723425524825058,0.49683728448565034,0.03382184117432274
real,0,101,7,40.9187190121475,True,0.13123757931351332,-2.819867479172993,0.8627124291902699,-0.6336600063934412,-0.13871901214749727
real,0,101,8,43.327073280915,True,-0.6008187254303268,-3.2456577452859796,0.9020326557814062,0.5631857170121535,0.0729267190849967
real,0,101,9,48.00515088116716,True,0.9216357659571928,-4.071173962989589,0.9630123292235921,-0.48115615276665125,0.034849118832838144
real,0,101,10,49.7738324776723,True,-0.5160640145026028,-4.378211123422359,0.9753415528157281,0.4823639739042207,-0.03383247767229847
real,0,101,11,52.970321477714464,True,-0.4067377969861258,-3.4511533511033647,0.919026991002999,-0.5278104749272075,-0.13032147771446034
real,0,101,12,56.44624769706339,True,0.3665445710973176,-3.9359449386905085,0.9543485504831722,0.5117637622775106,0.01375230293660934
real,0,101,13,59.34704400260235,True,0.4191709455702591,-4.792606315876156,0.9816727757414195,0.43264093499745826,0.012955997397646968
real,0,101,14,60.83177852460981,False,-0.9940627929801668,-4.677634106082154,,,
real,0,101,15,65.1125440480816,False,0.7714274627629644,-3.927162001735354,,,
real,0,101,16,67.07981052949417,False,-0.19216137586373255,-2.7027882296661256,,,
real,0,101,17,69.54640171117398,False,-0.27936664731638666,-2.488392896056503,,,
real,0,101,18,72.0671576744819,False,-0.30870694595304266,-2.594250612462891,,,
real,0,101,19,75.70469069908393,False,0.8462374094653644,-3.3569379547629894,,,
real,0,101,20,77.1448400688748,False,-0.07881811305442399,-3.5759922829295747,,,
phase_scrambled,0,5,1,14.134725141734695,True,0.5322755496601288,0.7658010826246201,0.5538153948683772,1.1010538076983423,-0.3347251417346939
phase_scrambled,0,5,2,21.022039638771556,True,-0.6788780881605567,0.9532542311388581,0.7094301899366877,-0.9188491205517515,-0.402039638771555
phase_scrambled,0,5,3,25.01085758014569,True,-0.6274569674572459,-0.17864836114822935,0.10463178940353215,0.07093935386721384,0.589142419854312
phase_scrambled,0,5,4,30.424876125859512,True,-0.6614861543759272,0.1855876675655141,0.109296901032989,-0.12849094012127793,-0.3048761258595114
phase_scrambled,0,5,5,32.93506158773919,True,0.8890199550946825,0.29471704083966543,0.17394201932689105,0.7514705297171247,0.34493841226080946
phase_scrambled,0,5,6,37.586178158825675,True,-0.38693040580162474,1.764961917245749,0.9610129956681106,0.6390225020828311,-0.10617815882567072
phase_scrambled,0,5,7,40.9187190121475,True,0.39102267034142857,0.7072605407195802,0.5084971676107964,0.6132501830268353,0.18128098785250302
phase_scrambled,0,5,8,43.327073280915,True,0.06162405182529401,0.6696692770349627,0.4721759413528824,-0.28693956781861374,0.09292671908499983
