zero_index,gamma,p_ext,P_int,E,standard_mass_equivalent,equivalence_error,standard_KG_E
2,21.022039638771556,-27.6,21.022039638771556,34.69418035599173,21.022039638771556,0.0,34.69418035599173
2,21.022039638771556,-27.0,21.022039638771556,34.2187982047015,21.022039638771556,0.0,34.2187982047015
2,21.022039638771556,-26.4,21.022039638771556,33.74738731478457,21.022039638771556,0.0,33.74738731478457
2,21.022039638771556,-25.8,21.022039638771556,33.2801164447194,21.022039638771556,0.0,33.2801164447194
2,21.022039638771556,-25.2,21.022039638771556,32.81716243940178,21.022039638771556,0.0,32.81716243940178
2,21.022039638771556,-24.6,21.022039638771556,32.35871058268674,21.022039638771556,0.0,32.35871058268674
2,21.022039638771556,-24.0,21.022039638771556,31.904954953331035,21.022039638771556,0.0,31.904954953331035
2,21.022039638771556,-23.4,21.022039638771556,31.45609878185918,21.022039638771556,0.0,31.45609878185918
2,21.022039638771556,-22.8,21.022039638771556,31.01235480536882,21.022039638771556,0.0,31.01235480536882
2,21.022039638771556,-22.2,21.022039638771556,30.573945616718863,21.022039638771556,0.0,30.573945616718863
2,21.022039638771556,-21.6,21.022039638771556,30.141104003902754,21.022039638771556,0.0,30.141104003902754
2,21.022039638771556,-21.0,21.022039638771556,29.714073274697338,21.022039638771556,0.0,29.714073274697338
2,21.022039638771556,-20.4,21.022039638771556,29.29310756089361,21.022039638771556,0.0,29.29310756089361
2,21.022039638771556,-19.8,21.022039638771556,28.878472095560777,21.022039638771556,0.0,28.878472095560777
2,21.022039638771556,-19.200000000000003,21.022039638771556,28.47044345587337,21.022039638771556,0.0,28.47044345587337
2,21.022039638771556,-18.6,21.022039638771556,28.06930976305051,21.022039638771556,0.0,28.06930976305051
2,21.022039638771556,-18.0,21.022039638771556,27.67537082992896,21.022039638771556,0.0,27.67537082992896
2,21.022039638771556,-17.4,21.022039638771556,27.288938245635034,21.022039638771556,0.0,27.288938245635034
2,21.022039638771556,-16.8,21.022039638771556,26.91033538575992,21.022039638771556,0.0,26.91033538575992
2,21.022039638771556,-16.200000000000003,21.022039638771556,26.53989733540962,21.022039638771556,0.0,26.53989733540962
2,21.022039638771556,-15.600000000000001,21.022039638771556,26.17797071153688,21.022039638771556,0.0,26.17797071153688
2,21.022039638771556,-15.0,21.022039638771556,25.824913370117674,21.022039638771556,0.0,25.824913370117674
2,21.022039638771556,-14.4,21.022039638771556,25.481093983070714,21.022039638771556,0.0,25.481093983070714
2,21.022039638771556,-13.8,21.022039638771556,25.146891469405965,21.022039638771556,0.0,25.146891469405965
2,21.022039638771556,-13.2,21.022039638771556,24.822694265008433,21.022039638771556,0.0,24.822694265008433
2,21.022039638771556,-12.600000000000001,21.022039638771556,24.508899415805733,21.022039638771556,0.0,24.508899415805733
2,21.022039638771556,-12.0,21.022039638771556,24.20591147992743,21.022039638771556,0.0,24.20591147992743
2,21.022039638771556,-11.400000000000002,21.022039638771556,23.91414122593748,21.022039638771556,0.0,23.91414122593748
2,21.022039638771556,-10.8,21.022039638771556,23.634004116401492,21.022039638771556,0.0,23.634004116401492
2,21.022039638771556,-10.2,21.022039638771556,23.36591856902019,21.022039638771556,0.0,23.36591856902019
2,21.022039638771556,-9.600000000000001,21.022039638771556,23.110303991381908,21.022039638771556,0.0,23.110303991381908
2,21.022039638771556,-9.0,21.022039638771556,22.867578590093064,21.022039638771556,0.0,22.867578590093064
2,21.022039638771556,-8.400000000000002,21.022039638771556,22.63815696062916,21.022039638771556,0.0,22.63815696062916
2,21.022039638771556,-7.800000000000001,21.022039638771556,22.422447470650535,21.022039638771556,0.0,22.422447470650535
2,21.022039638771556,-7.199999999999999,21.022039638771556,22.220849456627047,21.022039638771556,0.0,22.220849456627047
2,21.022039638771556,-6.600000000000001,21.022039638771556,22.033750261226132,21.022039638771556,0.0,22.033750261226132
2,21.022039638771556,-6.0,21.022039638771556,21.8615221467784,21.022039638771556,0.0,21.8615221467784
2,21.022039638771556,-5.400000000000002,21.022039638771556,21.704519127916253,21.022039638771556,0.0,21.704519127916253
2,21.022039638771556,-4.800000000000001,21.022039638771556,21.563073773794,21.022039638771556,0.0,21.563073773794
2,21.022039638771556,-4.199999999999999,21.022039638771556,21.437494036712465,21.022039638771556,0.0,21.437494036712465
2,21.022039638771556,-3.6000000000000014,21.022039638771556,21.328060169037467,21.022039638771556,0.0,21.328060169037467
